sku,category,name,rrp,npp,ean,tariff,weight,size,tax_class
AMA-08550,AMA GMBH,"Nature´s Ocean Coral base Rock 18,14 kg
",84.5,49, ,68109900,18.14,37 x 36 x 36,1
AMA-100066,AMA GMBH,Ersatzfilterbeutel 110 mm,8.9,5.1, ,39232990,0.1,,1
AMA-100213,AMA GMBH,Grüne Meeresalgen 25 g,7.05,4.15, ,23099031,0.04,,1
AMA-100214,AMA GMBH,Grüne Meeresalgen 100 g,24.55,14.44,8 12961002142,23099031,0.1,,1
AMA-100300,AMA GMBH,"Reef Bond  500 g, Korallenmörtel",21.95,12.5,8 12961003002,35061000,0.55,22 x 2 x 13,1
AMA-100301,AMA GMBH,"Reef Bond 1000 g, Korallenmörtel",39.5,22.5,8 12961003019,35061000,1,,1
AMA-100302,AMA GMBH,"Reef Bond 5000 g, Korallenmörtel",163.95,93.5, ,35061000,5,,1
AMA-100305,AMA GMBH,"Eco Phos Fe 0,5-2,0 mm  500g",19.9,9.5,8 12961003057,23099031,0.5,,1
AMA-100306,AMA GMBH,"Eco Phos Fe 0,5-2,0 mm 1000g",34.9,16.75,8 12961003064,23099031,1,,1
AMA-100307,AMA GMBH,"Eco Phos Fe 0,5-2,0 mm 5000g",129,69.5,8 12961003071,23099031,5,,1
AMA-100310,AMA GMBH,"Eco Phos Fe 2,0-4,0 mm  500g",19.9,9.5,8 12961003101,23099031,0.5,,1
AMA-100311,AMA GMBH,"Eco Phos Fe 2,0-4,0 mm 1000g",34.9,17.05, ,23099031,1,,1
AMA-100312,AMA GMBH,"Eco Phos Fe 2,0-4,0 mm 5000g",129,69.5,8 12961003125,23099031,5,,1
AMA-100345,AMA GMBH,Eco Carbon Pellett 3 mm  500ml ( Kohle ),6.5,3.95,8 12961003453,28363000,0.5,,1
AMA-100346,AMA GMBH,Eco Carbon Pellett 3 mm 1000ml ( Kohle ),10.9,6.5, ,28363000,1,,1
AMA-100347,AMA GMBH,Eco Carbon Pellett 3 mm 5000ml ( Kohle ),42.5,24.95, ,28363000,5,,1
AMA-100350,AMA GMBH,ECO Carbon Granulat 1-3 mm 500ml ( Kohle ),6.5,3.95,8 12961003507,28363000,0.5,,1
AMA-100351,AMA GMBH,"ECO Carbon Granulat 1-3 mm 1000ml ( Kohle )
",10.9,6.5,8 12961003514,28363000,1,,1
AMA-100352,AMA GMBH,Eco Carbon Granulat 1-3mm 5000ml ( Kohle ),42.9,24.95,8 12961003521,28363000,5,,1
AMA-410151,AMA GMBH,"Samoa Pink Sand 0,5-1,5mm  9,07kg",23.99,14.49,0 29904101514,25174900,9.3,,1
AMA-410701,AMA GMBH,"Natural White Aragonite Live Sand 0,5-1,7mm  9,07kg",35.9,20.5, ,25174900,9.3,,1
AMA-410721,AMA GMBH,"Aragonite Live Reef Substrate 1,0- 2,5mm  7,26kg",35.9,20.5, ,25174900,7.4,,1
AMA-410731,AMA GMBH,"Natural White Aragonite Live Sand 0,1-0,5mm  9,07kg",35.9,20.5, ,25174900,9.3,,1
AMA-410741,AMA GMBH,"Black Beach Live Sand 0,5-1,7mm  9,07kg",36.9,21.9,0 29904107417,25174900,9.3,,1
AMA-410791,AMA GMBH,"Marine White Sand 0,1-0,5mm  9,07kg",23.99,14.49, ,25174900,9.3,,1
AMA-410910,AMA GMBH,"Premium Reaktor Media 4,0-10,0mm  3,79l",27.5,16.1,0 29904109107,84212100,4,,1
AMA-420701,AMA GMBH,"Natural White Aragonite Live Sand 0,5-1,7mm  4,54kg",19.9,10.65,0 29904207018,25174900,4.6,39 x 3 x 28,1
AMA-420721,AMA GMBH,"Aragonite Live Reef Substrate 1,0- 2,5mm  3,63 kg",19.9,10.65, ,25174900,3.8,,1
AMA-420731,AMA GMBH,"Natural White Aragonite Live Sand 0,1-0,5mm  4,54kg",19.9,10.65, ,25174900,4.7,39 x 3 x 28,1
AMA-420741,AMA GMBH,"Black Beach Live Sand 0,5-1,7mm  4,54kg",21.5,12.3,0 29904207414,25174900,4.7,39 x 3 x 28,1
AMA-ADA20x1/2,AMA GMBH,"AMA Adapter 20 mm x 1/2 Zoll (grau)
",2.55,1.5, ,39269097,0.1,,1
AMA-ADA25x3/4,AMA GMBH,"AMA Adapter 25 mm x 3/4 Zoll (grau)

",3.46,2.05, ,39269097,0.1,,1
AMA-ADA32x3/4,AMA GMBH,"AMA Adapter 32 mm x 3/4 Zoll (grau)
",5.39,3.19, ,39269097,0.1,,1
AMA-BH - 01,AMA GMBH,"AMA Durchführung 45 mm x 1 Zoll
",9.1,5.4, ,39269097,0.1,,1
AMA-BH - 04,AMA GMBH,"AMA Durchführung 30 mm x 1/2 Zoll 
",7.2,4.25, ,39269097,0.1,,1
AMA-BH - 05,AMA GMBH,"AMA Durchführung 45 mm x 3/4 Zoll
",8.3,4.9, ,39269097,0.1,,1
AMA-R270850,AMA GMBH,"AMA Kugelgelenkrohr 3/4 Zoll
",10.95,6.55, ,39269097,0.1,,1
AMA-R270852,AMA GMBH,"AMA Auslaufdüse 3/4 Zoll
",9.75,8.85, ,39119099,0.1,,1
AMA-R270854,AMA GMBH,"AMA Anschlußverschraubung 3/4 Zoll (schwarz)
",4.65,2.79, ,39269097,0.15,,1
AMA-R270855,AMA GMBH,"AMA Y Stück 3/4 Zoll
",9.95,5.99, ,39269097,0.1,,1
AMA-R270856,AMA GMBH,"AMA Kugelgelenkrohr 1/2 Zoll 
",8.49,5.12, ,39269097,0.1,,1
AMA-R270859,AMA GMBH,"AMA Auslaufdüse 1/2 Zoll
",6.95,4.19, ,39119099,0.1,,1
AMA-R270860,AMA GMBH,AMA Anschlußverschraubung 1/2 Zoll (schwarz),3.75,2.25, ,39269097,0.15,,1
AMA-R270861,AMA GMBH,"AMA Y Stück 1/2 Zoll
",7.4,4.49, ,39269097,0.1,,1
BEE-1000-1,AQUABEE,Aquabee Keramikachse für UP 1000,5.4,2.9, ,84139100,0.01,,1
BEE-1005.12,AQUABEE,"Aquabee Läuferbaugruppe zu UP 1000
inklusive Keramikachse und Silikonlagern",12.97,7.43,4 260526682050,94059900,0.1,,1
BEE-1005.13,AQUABEE,Aquabee Kreiselgehäuse UP 1000,3.6,2.27, ,94059900,0.02,,1
BEE-104,AQUABEE,"Aquabee cove Scheibenreinigermagnet XL ohne Klinge 135x65x28mm
Innenteil nicht schwimmfähig",439,289,6 957948950352,85051100,0.34,,1
